Type: Pos,cost: 0.108102, total cost: 36.833622
Type: Chunk,cost: 0.101868, total cost: 43.848021
Type: Chunk,cost: 0.141233, total cost: 50.988059
Type: Chunk,cost: 0.113942, total cost: 57.685225
Type: Chunk,cost: 0.134837, total cost: 64.291747
Epoch: 11 Training mean loss: 0.140
Epoch: 11 Validation mean loss 3.339
Epoch: 12
Type: Chunk,cost: 0.122789, total cost: 1.326993
Type: Chunk,cost: 0.118658, total cost: 7.642478
Type: Pos,cost: 0.106830, total cost: 13.640903
Type: Chunk,cost: 0.126063, total cost: 20.366285
Type: Chunk,cost: 0.205691, total cost: 26.780404
Type: Pos,cost: 0.118779, total cost: 33.767913
Type: Pos,cost: 0.138863, total cost: 40.079696
Type: Pos,cost: 0.132869, total cost: 46.715607
Type: Chunk,cost: 0.113722, total cost: 53.258007
Type: Chunk,cost: 0.136418, total cost: 59.147315
Epoch: 12 Training mean loss: 0.128
Epoch: 12 Validation mean loss 3.269
Epoch: 13
Type: Chunk,cost: 0.097183, total cost: 1.532463
Type: Pos,cost: 0.144677, total cost: 7.452507
Type: Pos,cost: 0.096379, total cost: 14.299031
Type: Chunk,cost: 0.109468, total cost: 21.624396
Type: Chunk,cost: 0.149911, total cost: 27.857364
Type: Pos,cost: 0.110029, total cost: 34.545663
Type: Chunk,cost: 0.113009, total cost: 41.148737
Type: Chunk,cost: 0.154188, total cost: 47.275436
Type: Chunk,cost: 0.089297, total cost: 53.530349
Type: Chunk,cost: 0.133937, total cost: 59.612349
Epoch: 13 Training mean loss: 0.130
Epoch: 13 Validation mean loss 3.430
Epoch: 14
Type: Pos,cost: 0.167374, total cost: 1.276886
Type: Chunk,cost: 0.144396, total cost: 6.932003
Type: Pos,cost: 0.095966, total cost: 13.087933
Type: Chunk,cost: 0.091302, total cost: 19.750448
Type: Chunk,cost: 0.133917, total cost: 25.988569
Type: Chunk,cost: 0.225915, total cost: 32.449147
Type: Pos,cost: 0.106898, total cost: 39.120523
Type: Chunk,cost: 0.124786, total cost: 45.148930
Type: Chunk,cost: 0.091829, total cost: 51.033562
Type: Chunk,cost: 0.128144, total cost: 56.651451
Epoch: 14 Training mean loss: 0.123
Epoch: 14 Validation mean loss 3.360
Epoch: 15
Type: Chunk,cost: 0.107679, total cost: 1.075326
Type: Pos,cost: 0.131701, total cost: 6.065067
Type: Chunk,cost: 0.130118, total cost: 11.450345
Type: Pos,cost: 0.156273, total cost: 17.886470
Type: Pos,cost: 0.135871, total cost: 23.817946
Type: Chunk,cost: 0.155864, total cost: 30.251215
Type: Pos,cost: 0.076578, total cost: 36.272553
Type: Chunk,cost: 0.097930, total cost: 42.893312
Type: Chunk,cost: 0.094859, total cost: 48.527007
Type: Chunk,cost: 0.124270, total cost: 54.582072
Epoch: 15 Training mean loss: 0.118
Epoch: 15 Validation mean loss 3.313
Epoch: 16
Type: Chunk,cost: 0.088902, total cost: 1.148539
Type: Pos,cost: 0.104412, total cost: 5.949839
Type: Chunk,cost: 0.087263, total cost: 10.946260
